,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
902,5555004034,0,1,1,0,0,2140000,1543368,0,0,0,0,0,0,2015,0,0,0,0,0,1937,1937,8029,3272,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
903,4336020007,0,0,1,0,0,607400,479578,0,0,0,0,0,0,1999,0,0,0,0,0,1925,1925,5005,1293,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
904,5530001005,0,1,1,0,0,2050000,2000185,0,0,0,0,0,0,2014,0,0,0,0,0,1923,1923,6861,3387,0,0,1,0,0,0.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
905,4336017029,0,0,0,0,0,150200,87881,0,0,0,0,0,0,0,0,0,0,0,0,1925,1925,7548,3028,0,0,0,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
906,4336022015,1,0,1,0,0,86500,53021,0,0,0,0,0,0,0,0,0,0,0,0,1926,1926,4856,1251,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
907,4336021004,0,0,0,0,0,492300,205992,0,0,0,0,0,0,0,0,0,0,0,0,1925,1925,4518,2139,0,0,1,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
908,4340027015,1,0,1,0,0,94000,85864,0,0,0,0,0,0,0,0,0,0,0,0,1924,1924,7538,1808,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
909,4337012014,1,0,1,0,0,69500,43837,0,0,0,0,0,0,1945,0,0,0,0,0,1927,1927,6722,1535,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
910,4337006034,0,0,1,0,0,117500,77296,0,0,0,0,0,0,1948,0,0,0,0,0,1949,1949,6372,2971,0,0,5,0,0,0.0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
911,4337019005,0,0,0,0,0,61400,41591,0,0,0,0,0,0,1959,0,0,0,0,0,1929,1929,4829,1006,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
912,4336017005,1,0,0,0,0,89700,46899,0,0,0,0,0,0,1960,0,0,0,0,0,1924,1924,3886,1536,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
913,4336017003,0,0,0,0,0,75800,46895,0,0,0,0,0,0,1961,0,0,0,0,0,1925,1925,3878,1334,0,0,2,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
914,4340018001,0,0,0,0,0,795400,674858,0,0,0,0,0,0,1961,0,0,0,0,0,1934,1934,3153,1370,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
915,5559002012,0,1,1,0,0,103400,86685,0,0,0,0,0,0,1962,0,0,0,0,0,1925,1925,6350,1270,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
916,4340023023,0,0,1,0,0,66000,59958,0,0,0,0,0,0,1963,0,0,0,0,0,1913,1913,4774,1652,0,0,1,0,0,0.0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
917,4340022037,1,0,0,0,0,68100,52611,0,0,0,0,0,0,1966,0,0,0,0,0,1925,1925,3792,936,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
918,5530004009,1,0,1,0,0,130700,107704,0,0,0,0,0,0,1966,0,0,0,0,0,1915,1915,5210,1242,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
919,4336004011,0,0,0,0,0,83000,54040,0,0,0,0,0,0,1967,0,0,0,0,0,1927,1927,5125,1537,0,0,1,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
920,4336022009,0,0,0,0,0,89900,53022,0,0,0,0,0,0,1967,0,0,0,0,0,1939,1939,4779,1382,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
921,4336016012,0,0,0,0,0,390200,184779,0,0,0,0,0,0,1969,0,0,0,0,0,1924,1924,3917,2215,0,0,1,0,0,0.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
922,4336013038,0,0,0,0,0,258600,177477,0,0,0,0,0,0,1969,0,0,0,0,0,1927,1927,4003,1157,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
