,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
69,5524008007,0,1,1,1,1,2157405,1318809,838596,0,0,0,39,25916,2016,0,2375000,0,0,0,1923,2010,6357,2925,1,1,1,0,0,1.0,1,1,4,5,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
70,5524014005,0,0,1,0,1,2588887,2030500,558387,0,0,0,22,31181,2014,0,2550000,1,1785000,1,2013,2013,6000,3924,1,1,0,1,1,1.0,1,1,4,5,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
71,5524008012,0,0,0,0,0,849562,231751,617811,0,0,0,73,10529,2015,0,0,0,0,0,2005,2005,8996,3496,1,1,1,1,1,1.0,0,1,4,5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
72,5547027017,0,0,0,0,1,976155,517893,458262,0,0,0,47,11866,2012,0,920000,1,575000,1,1920,1955,6980,2089,1,1,0,0,0,1.0,1,1,3,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
73,5535030002,1,0,0,0,1,541275,402157,139118,0,0,0,26,6681,2014,0,0,0,0,0,1908,1916,7279,1473,0,0,1,0,0,1.0,0,0,3,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
74,5524005003,0,0,0,0,1,892304,489382,402922,0,1,7000,45,10834,2003,0,500000,1,450000,1,1923,1924,7289,2652,1,0,0,0,0,1.0,0,0,4,4,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
75,5550030018,0,0,0,0,0,413778,183897,229881,0,0,0,56,5040,2016,0,0,0,0,0,1919,1929,6149,1302,0,1,1,1,1,1.0,1,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
76,5538017001,0,0,0,0,1,730000,430000,300000,0,0,0,41,8789,2015,0,730000,0,0,0,1915,2000,6250,2120,1,1,1,1,1,2.0,1,0,4,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
77,5524006006,0,0,0,0,0,1819156,939106,880050,0,0,0,48,22044,2016,0,0,0,0,0,2015,2015,6255,4732,1,0,1,0,0,1.0,0,0,5,6,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
78,5551015027,1,0,1,0,1,2178361,1412992,765369,0,0,0,35,26361,2005,0,0,0,0,0,1921,1925,10132,3215,1,1,0,0,0,2.0,1,1,4,3,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,5551024015,0,0,1,0,1,1499960,1201045,298915,0,1,7000,20,18056,2009,0,0,0,0,0,1919,1929,6753,1743,1,1,0,0,0,1.0,1,1,3,3,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
80,5551015029,1,0,1,0,1,519309,344587,174722,0,1,7000,34,6441,2006,0,0,0,0,0,1922,1942,7425,2797,1,1,0,0,0,2.0,1,1,4,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
81,5551013023,0,0,0,0,1,1924434,1094951,829483,0,0,0,43,23297,2016,0,0,1,1100000,1,1922,1943,8403,2918,0,1,1,0,0,1.0,1,1,3,3,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
82,5586029023,0,0,1,0,1,227860,137253,90607,0,1,7000,40,2847,2004,0,280000,1,205000,1,1918,1950,6760,1777,1,1,0,0,0,1.0,1,1,3,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
83,5550006006,0,0,0,0,1,733111,484234,248877,0,1,7000,34,8901,2004,0,0,0,0,0,1916,1954,6999,2446,1,1,0,0,0,1.0,1,1,2,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
84,5551024013,1,0,0,0,1,338594,74810,263784,0,1,7000,78,4243,2011,0,0,0,0,0,1919,1954,6754,2418,1,0,0,0,0,1.0,1,1,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
85,5550008010,0,0,0,0,1,1300292,991760,308532,0,0,0,24,15772,2012,0,1250000,1,875000,1,1918,1974,6970,2531,1,1,0,0,0,2.0,1,1,4,4,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
86,5551019007,0,0,1,0,1,1436578,1149263,287315,0,0,0,20,17400,2015,0,1415000,1,1099000,1,1925,0,6049,2798,1,1,1,0,0,2.0,1,1,3,3,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
87,5589029005,0,0,0,0,1,233754,205890,27864,0,1,7000,12,2929,2002,0,0,1,292500,1,1907,1910,6752,2054,1,0,0,0,0,2.0,1,1,3,2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
88,5551026014,0,0,1,0,1,1006498,805200,201298,0,0,0,20,12171,2016,0,1615000,0,0,0,1919,1919,7550,1488,1,1,1,0,0,1.0,1,1,2,2,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
89,5550012004,1,0,0,0,1,773709,618972,154737,0,1,7000,20,9319,2001,0,620000,1,434000,1,1917,1920,6057,2327,1,1,0,0,0,2.0,1,1,4,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
90,5551026019,1,0,0,0,1,472600,359166,113434,0,1,7000,24,5829,2012,0,0,0,0,0,1920,1920,7550,1986,1,1,0,1,1,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
91,5550006018,0,0,1,0,1,382997,306403,76594,0,0,0,20,4718,2000,0,265000,1,212000,0,1920,1923,5399,816,1,1,0,1,1,1.0,1,1,2,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
