,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,Prediction,Actual
42,5430017006,0,0,0,0,1,343664,274936,68728,0,0,0,0,4192,2000,0,270000,1,216000,1,1924,1924,3391,929,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,,
43,5430019010,0,0,0,0,1,484299,376213,108086,0,0,0,0,5817,2000,0,359000,1,200000,1,1940,1940,6575,1005,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,1,,
44,5430024014,0,0,0,0,1,480225,367861,112364,0,0,0,0,5759,2000,0,370000,1,296000,1,1924,1924,3301,1482,0,0,1,0,0,0.0,0,0,4,2,0,0,0,0,0,0,0,0,0,,
45,5430026027,1,0,0,0,1,407328,320763,86565,0,0,0,0,4888,2000,0,315000,1,115000,1,1972,1972,3423,1390,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,1,,
46,5430028031,0,0,0,0,1,232287,185836,46451,0,0,0,0,2812,2000,0,182500,1,181287,1,1903,1903,6715,960,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,,
47,5433001015,0,0,0,0,1,406557,291325,115232,0,0,0,0,4920,2000,0,435000,1,347200,1,1939,1939,6772,1674,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,,
48,5433007029,0,0,0,0,1,794582,571273,223309,0,0,0,0,9570,2000,0,612000,1,250000,1,1936,1936,6631,2290,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
49,5433009001,0,0,0,0,1,746541,259665,486876,0,0,0,0,9021,2000,0,575000,1,252700,1,1932,1932,4038,1992,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
50,5433009014,0,0,1,0,1,506344,372751,133593,0,0,0,0,6205,2000,0,390000,1,312000,1,1928,1928,4617,1179,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0
51,5433009031,0,0,0,0,1,694603,433253,261350,0,0,0,0,8442,2000,0,535000,1,428000,1,1931,1931,4369,2117,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,,
