,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
4686,4337008123,0,0,0,0,0,100683,22937,77746,0,1,7000,77,1428,1988,0,0,0,0,0,1965,1968,19346,529,0,0,26,0,0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4687,5529019040,1,0,1,0,0,176118,73246,102872,0,0,0,58,2402,2004,0,0,0,0,0,1974,1974,12102,818,0,0,21,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4688,5529019043,0,0,0,0,1,162420,80733,81687,0,1,7000,50,2159,1988,0,10500,0,0,0,1974,1974,12102,786,0,0,21,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4689,4337008114,0,0,1,0,0,141094,42406,98688,0,1,7000,70,1915,1984,0,83500,0,0,0,1965,1968,19346,873,0,0,26,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4690,5554002064,0,0,0,0,0,178669,51807,126862,0,1,7000,71,2353,1987,0,110000,0,0,0,1954,1954,29889,838,0,0,38,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4691,5529019049,0,0,0,0,0,316501,204993,111508,0,1,7000,35,3976,2000,0,248000,0,0,0,1974,1974,12102,1172,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4692,4337008124,0,0,1,1,1,118268,35472,82796,0,0,0,70,1643,2015,0,377000,0,0,0,1965,1968,19346,758,0,0,26,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4693,5529019037,0,0,1,0,1,399596,284943,114653,0,0,0,29,5027,2012,0,390000,0,0,0,1974,1974,12102,1102,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4694,5529019044,0,0,0,0,1,452875,338940,113935,0,0,0,25,5649,2013,0,442000,0,0,0,1974,1974,12102,1102,0,0,21,0,0,0.0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4695,5529019050,0,0,1,0,1,469271,348060,121211,0,0,0,26,5836,2013,0,458000,0,0,0,1974,1974,12102,989,0,0,21,0,0,0.0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4696,5529019048,0,0,1,0,1,501319,391672,109647,0,0,0,22,6209,2013,0,491500,0,0,0,1974,1974,12102,949,0,0,21,0,0,0.0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4697,4337008122,0,0,0,0,1,161122,56135,104987,0,1,7000,65,2147,1999,0,126000,1,76000,0,1965,1968,19346,835,0,0,26,0,0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4698,5529019045,0,0,0,0,1,149982,67085,82897,0,1,7000,55,2017,1998,0,1130000,0,90320,0,1974,1974,12102,864,0,0,21,0,0,0.0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4699,5529019041,0,0,0,0,1,153907,77215,76692,0,1,7000,50,2060,1998,0,118000,1,112100,0,1974,1974,12102,808,0,0,21,0,0,0.0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4700,4337008105,0,0,0,0,1,365165,230055,135110,0,0,0,37,4534,2009,0,340000,1,272000,1,1965,1968,19346,873,0,1,26,1,1,3.0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
4701,5554001018,0,0,0,0,1,283000,239000,44000,0,0,0,16,3649,2015,0,351000,1,210600,1,1955,1955,14089,728,0,1,21,1,1,1.0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4702,4337008103,1,0,0,0,1,300549,102259,198290,0,1,7000,66,3793,2002,0,0,0,0,0,1965,1968,19346,1218,1,1,26,1,1,3.0,1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
4703,4337008115,0,0,0,0,1,507181,326850,180331,0,1,7000,36,6209,2013,0,495000,0,0,0,1965,1968,19346,1218,1,1,26,1,1,1.0,1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4704,4340023079,0,0,0,0,1,134343,26866,107477,0,0,0,80,1909,1998,0,103000,1,77200,0,1974,1975,35306,710,1,1,60,1,1,4.0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4705,5560023108,0,0,1,0,1,451124,108319,342805,0,1,7000,76,5637,1994,0,319000,1,100000,1,1982,1982,20274,3153,0,0,22,0,0,0.0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4706,4337008090,0,0,0,0,1,399749,283130,116619,0,1,7000,29,4935,2010,0,375000,1,100000,1,1967,1981,18838,800,0,0,28,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4707,4340023105,0,0,0,0,1,187426,71709,115717,0,1,7000,62,2448,2000,0,149500,1,119600,1,1974,1975,35306,710,0,0,60,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
