,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
1037,4334015060,0,0,0,0,0,298540,74287,224253,0,1,7000,75,3595,2012,0,0,0,0,0,1983,1983,6504,1620,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
1038,4334015061,0,0,0,0,1,690000,414000,276000,0,1,7000,40,8247,2007,0,689000,1,417000,1,1983,1983,6504,1299,0,0,7,0,0,0.0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1039,4334015063,0,0,0,0,1,706486,460278,246208,0,1,7000,35,8450,2004,0,600000,1,480000,1,1983,1983,6504,1452,0,0,7,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1040,4333024043,0,0,0,0,1,575000,401500,173500,0,0,0,30,6942,2015,0,575000,1,460000,1,1984,1984,6006,908,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1041,4333024044,0,0,0,0,1,506494,343182,163312,0,0,0,32,6125,2010,0,468000,1,295000,1,1984,1984,6006,899,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1042,4333024045,0,0,1,1,1,487015,323086,163929,0,0,0,34,5809,2017,0,600000,0,0,0,1984,1984,6006,892,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1043,4333024046,0,0,0,0,0,195649,63272,132377,0,1,7000,68,2336,1995,0,10000,1,127892,1,1984,1984,6006,881,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1044,4333024047,0,0,1,0,0,178031,71481,106550,0,0,0,60,2210,2013,0,0,1,94315,1,1984,1984,6006,895,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1045,4333024048,0,0,0,0,1,477465,321015,156450,0,0,0,33,5694,2012,0,459000,1,344250,1,1984,1984,6006,866,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1046,4333024049,0,0,0,0,0,227197,117623,109574,0,0,0,48,2793,2003,0,0,0,0,0,1984,1984,6006,817,0,0,7,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1047,4334015065,0,0,0,0,1,695000,421600,273400,0,1,7000,39,8299,2015,0,695000,1,625500,1,1984,1984,9100,1211,0,1,12,1,1,3.0,1,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1048,4334015074,0,0,1,0,1,987838,635851,351987,0,0,0,36,11899,2015,0,973000,1,778400,1,1984,1984,9100,1831,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1049,4334015075,0,0,1,0,1,888343,523869,364474,0,1,7000,41,10632,2015,0,875000,1,700000,1,1984,1984,9100,1894,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1050,4334015076,0,0,0,0,1,999290,646380,352910,0,1,7000,35,11955,2014,0,965000,1,360500,1,1984,1984,9100,1900,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1051,4334015066,0,0,0,0,0,533551,276083,257468,0,1,7000,48,6374,2013,0,0,0,0,0,1984,1984,9100,1212,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1052,4334015068,0,0,1,0,1,492418,281640,210778,0,1,7000,43,5884,2003,0,410000,1,307500,1,1984,1984,9100,1217,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
