,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
49,5550008048,1,0,1,0,0,184569,54021,130548,0,0,0,71,2342,2012,0,0,0,0,0,1960,1975,29167,1467,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
50,5550008049,0,0,0,0,1,330941,66185,264756,0,1,7000,80,4018,2001,0,260000,1,182000,1,1960,1975,29167,1825,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,5550008050,0,0,0,0,0,303035,108778,194257,0,0,0,64,3675,2016,0,0,0,0,0,1960,1975,29167,1590,0,1,40,1,1,1.0,1,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
52,5550008051,0,0,0,0,1,565000,409000,156000,0,1,7000,28,6780,2005,0,499000,1,399200,1,1960,1975,29167,1174,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,5550008052,0,0,1,1,1,324571,151593,172978,0,1,7000,53,3929,2001,0,255000,1,204000,1,1960,1975,29167,1528,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
54,5550008054,0,0,0,0,0,467759,281744,186015,0,0,0,40,5704,2016,0,0,0,0,0,1960,1975,29167,1157,0,1,40,0,0,4.0,1,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
55,5550008055,0,0,0,0,0,556000,404000,152000,0,1,7000,27,6672,2007,0,0,0,0,0,1960,1975,29167,1151,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,5550008056,0,0,0,0,1,184066,51640,132426,0,1,7000,72,2245,2002,0,0,1,150000,1,1960,1975,29167,1305,0,0,40,0,0,0.0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
57,5550008057,0,0,0,0,1,420356,269510,150846,0,1,7000,36,5053,2004,0,0,1,262500,1,1960,1975,29167,1112,0,1,40,1,1,1.0,1,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58,5550008059,0,0,0,0,1,547380,308801,238579,0,0,0,44,6681,2009,0,502000,1,401600,1,1960,1975,29167,1825,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0
59,5550008060,0,0,0,0,1,513445,293056,220389,0,1,7000,43,6183,2009,0,472000,1,424297,1,1960,1975,29167,1590,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
60,5550008061,0,0,0,0,0,222469,76934,145535,0,1,7000,65,2697,2005,0,0,0,0,0,1960,1975,29167,1174,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
61,5550008062,1,0,1,0,1,229286,53944,175342,0,0,0,76,2877,1998,0,6500,0,0,0,1960,1975,29167,1528,0,1,40,1,1,1.0,1,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
62,5550008063,0,0,1,0,1,517882,124789,393093,0,1,7000,76,6246,2009,0,0,0,0,0,1960,1975,29167,1821,0,0,40,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
63,5548012038,0,0,0,0,1,494109,338075,156034,0,0,0,32,6006,2013,0,475000,1,332500,1,1980,1980,11360,1345,0,0,8,0,0,0.0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
64,5548012039,0,0,0,0,0,486700,129441,357259,0,0,0,73,5917,2014,0,470000,1,417000,1,1980,1980,11360,1333,0,1,8,1,1,0.0,1,0,3,3,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
65,5548012040,0,0,0,0,1,177446,39723,137723,0,0,0,78,2231,1998,0,134000,1,107200,0,1980,1980,11360,1333,0,0,8,0,0,0.0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
66,5548012041,0,0,0,0,1,175330,39374,135956,0,1,7000,78,2122,1997,0,130000,1,117000,0,1980,1980,11360,1331,0,0,8,0,0,0.0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
67,5548012042,0,0,0,0,0,173336,34661,138675,0,1,7000,80,2099,2000,0,0,0,0,0,1980,1980,11360,1331,0,1,8,1,1,2.0,1,0,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
68,5548012043,0,0,0,0,1,167964,33583,134381,0,1,7000,80,2035,2003,0,0,1,86000,1,1980,1980,11360,1333,0,0,8,0,0,0.0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
69,5548012044,0,0,0,0,0,225322,74274,151048,0,1,7000,67,2718,1989,0,145000,0,0,0,1980,1980,11360,1333,0,0,8,0,0,0.0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
70,5548012045,0,0,0,0,1,178012,35594,142418,0,1,7000,80,2155,2007,0,0,1,70000,1,1980,1980,11360,1345,0,0,8,0,0,0.0,0,0,3,3,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
71,5548010029,0,0,0,0,0,271250,53539,217711,0,1,7000,80,3283,1983,0,155000,0,0,0,1982,1982,7533,1745,0,0,6,0,0,0.0,0,0,2,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
72,5548010030,0,0,0,0,0,214375,81459,132916,0,1,7000,62,2589,1986,0,130000,0,0,0,1982,1982,7533,1378,0,0,6,0,0,0.0,0,0,2,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
73,5548010032,1,0,1,0,1,478636,300998,177638,0,0,0,37,5817,2009,0,440000,1,330000,1,1982,1982,7533,1244,0,0,6,0,0,0.0,0,0,2,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
74,5548010034,1,0,1,0,1,535036,358586,176450,0,0,0,33,6487,2015,0,0,0,0,0,1982,1982,7533,1190,0,0,6,0,0,0.0,0,0,2,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
75,5550016026,0,0,0,0,1,697000,105000,592000,0,0,0,85,8428,2015,0,697000,1,522750,1,1985,1985,11541,1837,0,0,24,0,0,0.0,0,0,2,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
76,5550016027,0,0,0,0,0,168591,33712,134879,0,0,0,80,2106,2003,0,0,0,0,0,1985,1985,11541,1261,0,0,24,0,0,0.0,0,0,2,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
77,5550016031,0,0,0,0,1,408497,186317,222180,0,0,0,54,4974,2017,0,695000,1,556000,1,1985,1985,11541,1471,0,0,24,0,0,0.0,0,0,2,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
