,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,INTERSPOUSAL,JOINT TENANT,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
41,5585023016,0,0,1,0,0,6337470,5069977,1267493,0,0,0,20,76245,0,0,0,0,0,0,1920,2003,26924,6432,1,1,1,0,0,2.0,1,1,4,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
42,2425029037,0,0,1,0,0,949243,748127,201116,0,0,0,21,11728,1991,0,0,0,0,0,1977,1978,7263,2369,0,0,0,0,0,0.0,0,0,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,2425020002,0,0,1,0,1,1190552,652357,538195,0,1,1,45,14561,2000,0,899000,0,719200,0,1949,1953,21452,3129,1,1,0,0,0,2.0,1,1,4,5,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
44,5577038029,1,0,0,0,0,157539,51516,106023,0,1,1,67,2273,2005,0,0,0,0,0,1973,1973,13732,2229,1,1,0,1,1,1.0,1,1,4,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,
45,5577036012,0,0,0,0,1,969822,642480,327342,0,1,1,34,11959,2007,0,0,0,0,0,1965,1966,14932,2290,1,1,0,1,1,1.0,1,1,3,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
46,5579034033,1,0,0,0,1,901745,198077,703668,0,1,1,78,11181,2008,0,0,0,0,0,1941,1950,35588,4565,1,1,0,0,0,1.0,1,1,5,5,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
47,2425027034,1,0,0,0,1,1385693,1103905,281788,0,0,0,20,16974,2014,0,0,0,0,0,1950,1952,20390,2946,1,1,0,0,0,1.0,1,1,5,6,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
48,5583008007,0,0,0,0,1,361304,82612,278692,0,1,1,77,4690,1992,0,0,0,248000,1,1926,1935,14097,2823,1,1,0,1,1,2.0,1,1,2,3,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
49,2425023016,1,0,0,0,1,937164,749735,187429,0,1,1,20,11514,2011,0,0,0,0,0,1959,1975,9730,1908,1,1,0,1,1,1.0,1,1,3,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
50,5577001014,0,0,0,0,0,874099,510110,363989,0,0,0,42,10771,2011,0,0,0,0,0,1956,1956,31905,2635,1,1,0,0,0,1.0,1,1,3,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,
51,5572012004,1,0,0,0,0,855505,537017,318488,0,1,1,37,10527,2012,0,0,0,0,0,1957,1960,7395,1998,1,1,0,1,1,1.0,1,1,2,2,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
52,2425027005,0,0,0,0,0,1212123,969700,242423,0,0,0,20,14754,2017,0,0,0,0,0,1926,1930,5708,2138,1,1,1,1,1,2.0,1,1,3,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
53,2429011005,0,0,0,0,0,544407,112724,431683,0,1,1,79,6756,1997,0,0,0,0,0,1936,1970,7663,2634,1,1,0,0,0,1.0,1,1,3,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
